expo,table,project,sponsors,link
1,1,SmartRaise,"Best Bitcoin Hack, NuCypher, City of Zion, ZK Capital, Protocol Labs, ARCC - Asia Reserve Currency Coin, Fusion",http://smartraise.org/
1,2,ImpactToken,"ARCC - Asia Reserve Currency Coin, Fusion",https://github.com/jamesylgan/ImpactToken
1,3,Bid-BaB,"Best Bitcoin Hack, NuCypher, ARCC - Asia Reserve Currency Coin, Fusion",https://github.com/frumsy/bid-BaB
1,4,Decentralized Secure Email,"NuCypher, Protocol Labs, ARCC - Asia Reserve Currency Coin",https://github.com/kaangoksal/dmail_gui
1,5,proxyChat,NuCypher,https://github.com/osagga/proxyChat
1,6,RHOC-tipbot,,https://github.com/lichen545/RHOC-tipbot
1,7,CryptoLandscrape,Best Bitcoin Hack,https://calchulus.github.io/CryptoLandscrape/
1,8,NEX_FACE,City of Zion,https://github.com/hdespiritu/nexFacialRecognition
1,9,Nudge,"ZK Capital, ARCC - Asia Reserve Currency Coin, Fusion",https://github.com/Nudge-dApp/Nudge
1,10,RepNet,"Protocol Labs, ARCC - Asia Reserve Currency Coin, Fusion",https://github.com/RSenApps/ReputationNet
1,11,Henko,"Best Bitcoin Hack, Fusion",https://github.com/levelkdev/nft-frontend
1,12,Carrot Platform,"ZK Capital, ARCC - Asia Reserve Currency Coin",https://github.com/frostiq/dharma-relayer
1,13,VitaData,ARCC - Asia Reserve Currency Coin,
1,14,CookieCoins,ARCC - Asia Reserve Currency Coin,
1,15,InCrypt,,https://github.com/eschedler/hunnitDharma
1,16,Transparency TCR,Fusion,
1,17,BlockTrack,"Best Bitcoin Hack, Fusion",http://127.0.0.1:5000/
1,18,Coinalyzer,,
1,19,NEO DDOS Protection,City of Zion,https://github.com/CityOfZion/neo-python/pull/334
1,20,Rekeyed - MIT Bitcoin Hackathon 2018,"NuCypher, City of Zion",https://github.com/cbonoz/mithack
1,21,Juretheum,"ARCC - Asia Reserve Currency Coin, Fusion",https://github.com/ravirahman/Transact
1,22,SHA-2EZ,"Best Bitcoin Hack, NuCypher, City of Zion, Protocol Labs, ARCC - Asia Reserve Currency Coin",https://github.com/willwen/BlockDoc
1,23,Baarish,ARCC - Asia Reserve Currency Coin,https://github.com/LakshmiDevi777/baarish
1,24,Gift a Life,"Best Bitcoin Hack, NuCypher, ARCC - Asia Reserve Currency Coin",https://github.com/agarwalakarsh/mitbitcoinhackathon
1,25,We fixed a whole bunch of Neo issues,City of Zion,
1,26,Game of Loans,"ZK Capital, Protocol Labs, ARCC - Asia Reserve Currency Coin",https://github.com/tchardin/gol
1,27,Drug Supply Block Chain,ARCC - Asia Reserve Currency Coin,https://github.com/mbvivek/drug-supply-block-chain-mit-hackathon
1,28,Bitcoin Academy,,http://mybitcoinacademy.org
1,29,0xbabb1e,"ARCC - Asia Reserve Currency Coin, Fusion",
1,30,"Decentralized, Trust-free, Provably Fair Casino","Best Bitcoin Hack, Protocol Labs",http://mitbitcoinhack.devpost.com/submissions/90463-decentralized-trust-free-provably-fair-casino